Locus	Eur	Ind
BL1045	61.5	1.5
BL1045	0.5	0.5
BL1045	0.5	9.5
BL1045	0.5	5.5
BL1045	0.5	0.5
BL1045	0.5	0.5
BL1045	0.5	0.5
BL1045	0.5	0.5
BMS1616	3.5	0.5
BMS1616	21.5	0.5
BMS1616	28.5	1.5
BMS1616	3.5	0.5
BMS1616	4.5	0.5
BMS1616	1.5	3.5
BMS1616	0.5	1.5
BMS1616	0.5	4.5
BMS1616	0.5	2.5
BMS1616	0.5	0.5
BMS1616	0.5	2.5
BMS1616	0.5	0.5
BMS1616	0.5	0.5
BMS1616	0.5	0.5
BL1098	48.5	4.5
BL1098	3.5	0.5
BL1098	4.5	0.5
BL1098	5.5	7.5
BL1098	1.5	0.5
BL1098	1.5	0.5
BL1098	0.5	0.5
BL1098	0.5	0.5
BL1098	0.5	0.5
BL1098	0.5	0.5
BL1098	0.5	0.5
BL1098	0.5	0.5
BL1098	0.5	0.5
BL1098	0.5	0.5
BL1098	0.5	3.5
BL1098	0.5	0.5
UWCA19	59.5	1.5
UWCA19	3.5	0.5
UWCA19	0.5	14.5
XBM701	58.5	3.5
XBM701	3.5	0.5
XBM701	1.5	0.5
XBM701	0.5	0.5
XBM701	0.5	6.5
XBM701	0.5	5.5
XBM701	0.5	1.5
XBM701	0.5	0.5
XBM701	0.5	0.5
XBM701	0.5	0.5
XBM701	0.5	0.5
XBM361	56.5	2.5
XBM361	3.5	0.5
XBM361	1.5	0.5
XBM361	0.5	0.5
XBM361	0.5	0.5
XBM361	0.5	2.5
XBM361	0.5	9.5
XBM361	0.5	0.5
BMS960	27.5	5.5
BMS960	28.5	1.5
BMS960	3.5	3.5
BMS960	1.5	0.5
BMS960	1.5	0.5
BMS960	0.5	0.5
BMS960	0.5	0.5
BMS960	0.5	3.5
BMS960	0.5	3.5
BMS960	0.5	0.5
XBM7	27.5	4.5
XBM7	24.5	3.5
XBM7	5.5	3.5
XBM7	6.5	1.5
XBM7	0.5	0.5
XBM7	0.5	3.5
XBM7	0.5	0.5
XBM7	0.5	0.5
XBM7	0.5	0.5
XBM7	0.5	1.5
BMS2713	62.5	1.5
BMS2713	0.5	0.5
BMS2713	0.5	14.5
BMS2713	0.5	0.5
BMS649	47.5	2.5
BMS649	10.5	0.5
BMS649	3.5	0.5
BMS649	1.5	0.5
BMS649	0.5	2.5
BMS649	0.5	0.5
BMS649	0.5	3.5
BMS649	0.5	7.5
BMS649	0.5	0.5
BMS649	0.5	0.5
BMS649	0.5	0.5
BMS649	0.5	1.5
BMS649	0.5	0.5
