SNPid NumAlleles DistanceinMb
rs11089130 2 NA
rs738829 2 NA
rs915674 2 NA
rs915675 2 NA
rs12159982 2 NA
rs4389403 2 NA
rs12628452 2 NA
rs7291810 2 NA
rs5746356 2 NA
rs9617528 2 NA
rs10154759 2 NA
rs2154787 2 NA
rs2508058 2 NA
rs11913813 2 NA
rs2260460 2 NA
rs1964966 2 NA
rs11705026 2 NA
rs7288187 2 NA
rs12053774 2 NA
rs7292653 2 NA
rs12158237 2 NA
rs8141006 2 NA
rs2818481 2 NA
rs10154304 2 NA
rs10154611 2 NA
rs1143974 2 NA
rs10154733 2 NA
rs11704711 2 NA
rs2259866 2 NA
rs8135352 2 NA
rs6010455 2 NA
rs6579328 2 NA
rs12166145 2 NA
rs10875504 2 NA
rs9617264 2 NA
rs6010331 2 NA
rs8142331 2 NA
rs7286307 2 NA
rs8141539 2 NA
rs4911642 2 NA
rs8190102 2 NA
rs7339773 2 NA
rs8190205 2 NA
rs2154931 2 NA
rs8190183 2 NA
rs6010298 2 NA
rs12169881 2 NA
rs6010412 2 NA
rs6010301 2 NA
rs11167395 2 NA
rs2212254 2 NA
rs12167050 2 NA
rs12169747 2 NA
rs12484903 2 NA
rs5748589 2 NA
rs12172529 2 NA
rs12166860 2 NA
rs5748869 2 NA
rs12161026 2 NA
rs9605223 2 NA
rs5747010 2 NA
rs12169421 2 NA
rs10048887 2 NA
rs5747108 2 NA
rs17552055 2 NA
rs5992715 2 NA
rs5992060 2 NA
rs5747367 2 NA
rs12159989 2 NA
rs4010617 2 NA
rs131532 2 NA
rs131540 2 NA
rs140378 2 NA
rs131562 2 NA
rs131564 2 NA
rs7511131 2 NA
rs1807483 2 NA
rs5748616 2 NA
rs5748626 2 NA
rs4010578 2 NA
rs5748640 2 NA
rs8136892 2 NA
rs5994034 2 NA
rs4010554 2 NA
rs9618904 2 NA
rs12166781 2 NA
rs4010558 2 NA
rs7293182 2 NA
rs4010550 2 NA
rs5994089 2 NA
rs2379903 2 NA
rs11913143 2 NA
rs5748797 2 NA
rs5748831 2 NA
rs2027653 2 NA
rs3859833 2 NA
rs7410309 2 NA
rs7286836 2 NA
rs4239845 2 NA
rs2890282 2 NA
rs5747178 2 NA
rs5746425 2 NA
rs4010319 2 NA
rs131584 2 NA
rs140383 2 NA
rs4010295 2 NA
rs4010266 2 NA
rs5747360 2 NA
rs5747361 2 NA
rs2379981 2 NA
rs5747561 2 NA
rs5747620 2 NA
rs9618403 2 NA
rs9605879 2 NA
rs7290707 2 NA
rs9605903 2 NA
rs11089243 2 NA
rs5746647 2 NA
rs4819760 2 NA
rs2006108 2 NA
