SNPid NumAlleles DistanceinMb
rs11089130 2 NA
rs915675 2 NA
rs915677 2 NA
rs4389403 2 NA
rs12628452 2 NA
rs5746356 2 NA
rs9617528 2 NA
rs12484041 2 NA
rs4145524 2 NA
rs2508058 2 NA
rs10154731 2 NA
rs11913813 2 NA
rs2260460 2 NA
rs1964966 2 NA
rs11705026 2 NA
rs12053774 2 NA
rs12162796 2 NA
rs4257135 2 NA
rs2521699 2 NA
rs1143974 2 NA
rs2259866 2 NA
rs9712893 2 NA
rs6579446 2 NA
rs2520619 2 NA
rs6579328 2 NA
rs10875504 2 NA
rs9617264 2 NA
rs8142331 2 NA
rs7286307 2 NA
rs8141539 2 NA
rs4911642 2 NA
rs7339773 2 NA
rs8190205 2 NA
rs2154931 2 NA
rs8190183 2 NA
rs6010298 2 NA
rs1118665 2 NA
rs10154683 2 NA
rs11167395 2 NA
rs2212254 2 NA
rs12484903 2 NA
rs8137605 2 NA
rs5748589 2 NA
rs12172529 2 NA
rs12166860 2 NA
rs9606573 2 NA
rs5748869 2 NA
rs9605223 2 NA
rs5747010 2 NA
rs10048887 2 NA
rs5747108 2 NA
rs17552055 2 NA
rs5992715 2 NA
rs5992060 2 NA
rs12159989 2 NA
rs4010617 2 NA
rs131532 2 NA
rs131540 2 NA
rs140378 2 NA
rs131562 2 NA
rs131564 2 NA
rs7511131 2 NA
rs5992539 2 NA
rs1807483 2 NA
rs5748626 2 NA
rs2379852 2 NA
rs5748640 2 NA
rs5994034 2 NA
rs4010558 2 NA
rs4010550 2 NA
rs5748797 2 NA
rs17841797 2 NA
rs5748831 2 NA
rs2027653 2 NA
rs17344604 2 NA
rs3859833 2 NA
rs7286836 2 NA
rs4239845 2 NA
rs2890282 2 NA
rs5747178 2 NA
rs5746425 2 NA
rs4010319 2 NA
rs131584 2 NA
rs140383 2 NA
rs4010295 2 NA
rs4010266 2 NA
rs2379981 2 NA
rs5747561 2 NA
rs5747620 2 NA
rs9605879 2 NA
rs7290707 2 NA
rs9605903 2 NA
rs5746647 2 NA
rs4819760 2 NA
rs2006108 2 NA
rs9605923 2 NA
rs5747968 2 NA
rs2040166 2 NA
rs2236639 2 NA
rs5747988 2 NA
rs5747999 2 NA
rs5746679 2 NA
rs2070501 2 NA
rs2070502 2 NA
rs11089263 2 NA
rs11089264 2 NA
rs7288876 2 NA
rs9605977 2 NA
rs12172265 2 NA
rs2096537 2 NA
rs3859824 2 NA
rs16984366 2 NA
rs2000473 2 NA
rs9604959 2 NA
rs2154615 2 NA
rs9606003 2 NA
